School Name,Prompt Number,Prompt
University of South Florida (Morsani),6,"If you have chosen the SELECT program or BOTH, please explain how your experiences and career goals match with the mission of the SELECT program. (MD SELECT Program | USF Health) (1500 characters)"
Oakland (Beaumont),2023,2024 Oakland Beaumont Secondary Essay Prompts All are 400-word limits.
Oakland (Beaumont),1,"Oakland County has a diverse patient population with a health equity divide that has resulted in a vulnerable group of patients that are underserved. Given your understanding of social determinants of health, how would you go about addressing these inequities?"
Oakland (Beaumont),2,Describe how OUWB’s mission and values align with your professional goals and objectives.
Oakland (Beaumont),3,Master adaptive learners in medicine represent a combination of both efficient problem-solvers and possess the ability to learn and innovate when faced with a novel challenge to deliver high quality healthcare. Think back to your educational journey and describe how you embodied the definition of a master adaptive learner.
Oakland (Beaumont),4,"Optional: Is there anything you want the admissions committee to know about your qualifications for medical school that are not already represented in your application materials? For example, if you have already graduated, briefly summarize your activities since graduation. Note: This space is provided for new information only, not to promote qualifications already highlighted in your other materials."
Oakland (Beaumont),5,"Optional: If you are a reapplicant to OUWB, please describe improvements you have made to your current application from previous cycles (please include academics, experiences, etc.)."
Johns Hopkins,2023,"2024 Johns Hopkins Secondary Essay Prompts 1. Optional: If you have already received your bachelor's degree, please describe what you have been doing since graduation, and your plans for the upcoming year. (2000 characters)"
Johns Hopkins,2,"Optional: If you interrupted your college education for a semester or longer, please describe what you did during that time. (2000 characters)"
Johns Hopkins,3,"Briefly describe your single, most rewarding experience. Feel free to refer to an experience previously described in your AMCAS application. (2500 characters)"
Johns Hopkins,4,"Are there any areas of medicine that are of particular interest to you? If so, please comment. (2500 characters)"
Johns Hopkins,5,Briefly describe a situation where you had to overcome adversity; include lessons learned and how you think it will affect your career as a future physician. (2500 characters)
Johns Hopkins,6,Briefly describe a situation where you were not in the majority. What did you learn from the experience? (2500 characters)
Johns Hopkins,7,"Wonder encapsulates a feeling of rapt attention … it draws the observer in. Tell us about a time in recent years that you experienced wonder in your everyday life. Although experiences related to your clinical or research work may be the first to come to mind, we encourage you to think of an experience that is unrelated to medicine or science. What did you learn from that experience? (2500 characters)"
Johns Hopkins,8,"Optional: The Admissions Committee values hearing about each candidate for admission, including what qualities the candidate might bring to the School of Medicine if admitted. If you feel there is information not already addressed in the application that will enable the Committee to know more about you and this has influenced your desire to be a physician, feel free to write a brief statement in the space below. You may address any subject you wish, such as being a first generation college student, or being a part of a minority group (whether because of your sexual orientation, religion, economic status, gender identity, ethnicity) or being the child of undocumented immigrants or being undocumented yourself, etc. Please note that this question is optional and that you will not be penalized should you choose not to answer it."
Rush,2023,2024 Rush Secondary Essay Prompts 1. Rush Medical College is located on Chicago’s near west side and serves a diverse patient population. We seek to train physicians who can connect with diverse patient populations with whom they may not share a similar background. Tell us about a life experience that has broadened your own world view or enhanced your ability to understand those unlike yourself and what you learned from this experience. (1000 characters)
Rush,2,"As an anchor institution, Rush is embedded in its strategies to improve the societal and structural determinants of health which improve the economic vitality of Chicago’s west side neighborhoods and help residents achieve better health. Using your own experiences, describe how you have impacted and/or changed a person or community. (1000 characters)"
Rush,3,"(Optional) If applicable, describe how the COVID-19 pandemic has impacted your application to and/or preparation for medical school. (1000 characters)"
Rush,4,"(Optional) Use this space to provide additional information, which is non-COVID related, you would like the Committee on Admissions to be aware of when reviewing your application."
Texas Tech El Paso (Foster),2023,"2024 Texas Tech El Paso (Foster) Secondary Essay Prompts 1. The mission of the Texas Tech University Health Sciences Center El Paso Paul L. Foster School of Medicine is to provide an outstanding education and development opportunities for a diverse group of students, residents, faculty, and staff; advance knowledge through innovation and research; and serve the needs of our socially and culturally diverse communities and region.” Recognizing the components of this mission and that PLFSOM is located on the US/Mexico border, please describe why you are interested in applying to our school. (300 words or less)"
Texas Tech El Paso (Foster),2,"The Foster SOM student honor code states “In my capacity as a Texas Tech University Health Sciences Center El Paso School of Medicine medical student, I will uphold the dignity of the medical profession. I will, to the best of my ability, avoid actions which might result in harm to my patients. I will protect the dignity of my patients and the deceased, and will protect their confidential information in accordance with the prevailing standards of medical practice. I will not lie, cheat, or steal. I will enter into professional relationships with my colleagues, teachers, and other health care professionals in a manner that is respectful and reflective of the high standards and expectations of my profession. I will not tolerate violations of this Code by others and will report such violations to the appropriate authorities.” Please describe past experiences or personal attributes that reflect your affinity with this honor code. (300 words or less)"
Texas Tech El Paso (Foster),3,"Please describe any unique personal experiences or disadvantage (educational, financial or otherwise) and their significance to you in your pursuit of a medical degree. (300 words or less)"
UCLA (Geffen),1,What is the most important social issue confronting the health of marginalized and under-resourced communities? Describe the first steps you would take to address this issue.
UCLA (Geffen),2,"In what way will graduating from PRIME-LA and obtaining a master's degree enhance your career in health care or health services for marginalized and under-resourced communities? (If you are considering a specific master’s degree (e.g., MPP, MPH, MBA, etc.), please incorporate your graduate degree plans or aspirations into your answer)"
UCLA (Geffen),3,"Describe how your experiences demonstrate your understanding of, and commitment to, marginalized and under-resourced communities."
UCLA (Geffen),4,What are your greatest strengths and your greatest challenges as you approach medical school?
UCLA (Geffen),5,Describe your most memorable experience as it relates to working with marginalized and under-resourced populations.
Commonwealth (Geisinger),2023,2024 Commonwealth (Geisinger) 1500 characters for all prompts
Commonwealth (Geisinger),1,"Given Geisinger Commonwealth School of Medicine’s unique mission and values, please tell us why you believe you are a good fit for our institution."
Commonwealth (Geisinger),2,List the five most important attributes you believe a physician should possess. Please choose one that you believe you embody and describe a personal experience that demonstrates this trait?
Commonwealth (Geisinger),3,"Geisinger Commonwealth values diversity, health equity, inclusion, and social justice. Tell us how you will share in this mission."
Commonwealth (Geisinger),4,"If you have previously applied to medical school, please describe your significant experiences between this year’s application and your previous application. If you are not a previous applicant, please type, “N/A” in the response area."
Northeast Ohio (NEOMED),2023,"2024 NEOMED Secondary Prompts 1) NEOMED Personal Statement Please complete a brief personal statement of 5,000 characters or fewer addressing the question below: What do you hope to achieve from your experience as a NEOMED student? "
Northeast Ohio (NEOMED),13,"34.040), domestic relations proceeding (Title 26 RCW), disciplinary board hearing or protection proceeding (Chapter 74.34 RCW), to have sexually assaulted or exploited, sexually or physically abused a minor or developmentally disabled person OR to have financially exploited or abused a vulnerable adult?"
Mayo Clinic - Minnesota (Alix),2023,2024 Mayo Clinic Secondary Prompts (500 words each) 1. Why are you specifically interested in pursuing your medical education at Mayo Clinic Alix School of Medicine? Please tell us in a few sentences why you are interested in the top track choice you indicated.
Mayo Clinic - Minnesota (Alix),2,"Each of us relates to others through characteristics that make up our individual diversity. Tell us how your diversity is reflected not only in your personal and professional activities, but also in your relationship with others, particularly in diverse learning environments."
Mayo Clinic - Minnesota (Alix),2023,2024 Mayo Clinic Secondary Prompts (500 words each) MSTP Applicants
Georgetown,2023,2024 Georgetown Secondary Essay Prompts 1. Are you/will you be enrolled in any program during the 2023-2024 academic year?
Georgetown,2,Have you ever completed one of the following Georgetown Programs? (check all that apply):
Georgetown,2023,2024 Georgetown Secondary Essay Prompts Pedro Arrupe S.J. Scholarship for Peace (ARRUPE)
Georgetown,2023,"2024 Georgetown Secondary Essay Prompts 3. The Georgetown University School of Medicine (GUSOM) strives to ensure that its students become respectful physicians, with cultural humility, who embrace all dimensions of caring for the whole person. With our Jesuit values of Cura Personalis, People for Others, and Community in Diversity, we are steadfast in our commitment to racial justice and to addressing the health inequities exacerbated by the recent pandemic. Please describe how your values, life experiences, and your identity will contribute to these GUSOM priorities. (1000 Characters)"
Georgetown,4,Is there any further information that you would like the Committee on Admissions to be aware of when reviewing your file that you were not able to notate in another section of this or the AMCAS Application? (1000 Characters)
Georgetown,5,Why have you chosen to apply to the Georgetown University School of Medicine and how do you think your education at Georgetown will prepare you to become a physician for the future? (3000 Characters)
Mayo Clinic - Arizona,2023,2024 Mayo Clinic - Arizona Secondary Prompts **Each is 500 words or less.**
Mayo Clinic - Arizona,1,Why are you specifically interested in pursuing your medical education at Mayo Clinic Alix School of Medicine? Please tell us in a few sentences why you are interested in the top choice track you indicated.
Mayo Clinic - Arizona,2,"Each of us relates to others through characteristics that make up our individual diversity. Tell us how your diversity is reflected not only in your personal and professional activities but also in your relationships with others, particularly in diverse learning environments."
UC San Francisco,2023,"2024 UC San Francisco Secondary Essay Prompts: 1. If you wish to update or expand upon your activities, you may provide additional information below. (500 words)"
UC San Francisco,2,"If you are 2023 or earlier college graduate, please use the space below to tell us what you have done since completing your undergraduate degree. (350 words)"
UC San Francisco,3,Do you identify as being part of a marginalized group socioeconomically or in terms of access to quality education or healthcare? Please describe how this inequity has impacted you and your community.
Chicago Med (Rosalind Franklin),2023,"2024 Chicago Med (Rosalind Franklin) Secondary Essay Prompts (150 words each) 1. Please specifically discuss how, if admitted to our program, your admission would contribute to the diversity of the Chicago Medical School at Rosalind Franklin University of Medicine and Science community."
Chicago Med (Rosalind Franklin),2,"Briefly share your plans for the upcoming academic year. Do you plan to work, conduct research, volunteer in a health care setting, participate in community service, attend school, travel, participate in leisure activities or other activities?"
Chicago Med (Rosalind Franklin),3,Have you ever had a major setback? What was the cause and how did you overcome it?
Chicago Med (Rosalind Franklin),4,"What areas of your life needs the most improvement, and what plans have you made to improve it?"
Medical College of Georgia,1,Please discuss your primary interest in attending the Medical College of Georgia at Augusta University. (300 words) 
Medical College of Georgia,2,Please describe your motivation for becoming a physician. What contributions do you feel that you could make to the medical profession in the future? (300 words) 
Medical College of Georgia,3,"Please list any additional clinical experiences that are not included on your AMCAS application. Please include the physician’s name OR type of experience (i.e., Nursing, PA, EMT, E.R. Scribe, etc.) in the description column below along with the location, dates and total number of hours. If no additional experiences have occurred, please select ""N/A."""
Medical College of Georgia,4,"The Admissions Committee regards the diversity of an entering class as an important factor in serving the educational mission of MCG and meeting the healthcare needs of a diverse patient population. Please describe how your own personal attributes, background, or life experiences, would contribute to the diversity of the class."
Medical College of Georgia,5,The art of medicine requires resilience on the part of its practitioners. There can be perceived failure even when the medical team has done everything right. Please describe a time when you were a part of something that failed. What did you learn from this experience? (300 words) 
Medical College of Georgia,6,"Please describe the geographical area in which you would most likely practice medicine and why. Please include the country, region, state, city and/or town in your response. (300 words) "
Medical College of Georgia,7,"Please explain any inconsistencies in your academic record. This may include below average course performance, grade trends, MCAT scores, etc. Please enter N/A if not applicable. (300 words) "
Medical College of Georgia,8,"If applicable, indicate any special experiences, unusual factors, or other information you have not already addressed in your application. Please enter N/A if not applicable. (300 words) "
Medical College of Georgia,9,"Please discuss any disruptions to your medical school application as a result of COVID-19. This may include but is not limited to academic performance, clinical, volunteer, research and extracurricular activities. (300 words)"
Nevada - Reno,2023,"2024 Nevada - Reno Secondary Essay Prompts Please share why you want to pursue your medical education at the University of Nevada, Reno School of Medicine; describe any connections to Northern Nevada communities; and how you are prepared to contribute to UNR Med’s vision of a Healthy Nevada. (300 words)"
Missouri - Columbia,2023,2024 Missouri - Columbia Secondary Essay Prompts 1. Why are you interested in attending the University of Missouri School of Medicine? (1200 characters)
Missouri - Columbia,2,How will you add a unique perspective to the medical school and the practice of medicine? (1200 characters)
Missouri - Columbia,3,How will you contribute to an inclusive learning environment at the medical school and the practice of medicine? (2000 characters)
Missouri - Columbia,4,Is there anything that was not fully addressed in your application and/or any additional updates since submitting the AMCAS application? (2000 characters)
Missouri - Columbia,5,(Re-applicant essay): Since your last application attempt how has your application improved? (3000 characters)
Stanford,2023,2024 Stanford Secondary Essays and Questions 1) Are there any current or pending disputes concerning your academic status?
Vermont,1,"The Larner College of Medicine curriculum emphasizes active in-person participation and peer co-learning which translates into strong clinical practice. This relies on individual students preparing for, and being actively involved in, participatory class sessions. Please share your thoughts on the suitability of active learning for you. You may use any of the points below to guide your response. (Maximum 400 words)"
Vermont,2,The Larner College of Medicine at the University of Vermont recognizes that diversity extends beyond chosen and unchosen identities and encompasses an individual’s entire experiences. Diverse environments can promote growth and provide an opportunity for reflection. Reflect on a time you learned something from someone or a group of people who are unlike yourself and how that challenged your preconceptions or biases. How will this experience influence your behavior in the future? (Maximum 400 words)
Vermont,3,The Larner College of Medicine has core values that are reflected in our professionalism statement. How has your understanding of what professionalism means evolved over time? Reflect on a personal experience that contributed to your understanding of your own core values. (Maximum 300 words)
Vermont,4,What unique opportunities at Larner College of Medicine would be meaningful to you in your education and how do these align with your larger goal of becoming a physician? (Maximum 250 words)
Vermont,5,"(Optional) Use this space to share any information, not presented elsewhere, that will clarify any aspect of your application. If you are a reapplicant, you may choose to share what you have done since your previous application. (Maximum 250 words)"
Stony Brook,2023,2024 Stony Brook Secondary Essay Prompts: 1. Tell us how your past experiences and/or challenges have defined you (500 words or less)
Stony Brook,2,Please respond to ONE of the following two questions: (500 words or less)
Stony Brook,3,Will your education be continuous between college and medical school matriculation?
UC San Diego,2023,"2024 UC San Diego Secondary Essay Prompts 1. This should be a true autobiographical statement. Topics to be included are family, childhood, primary and secondary school years, undergraduate years, and, if applicable, what you’ve done since completing your bachelor’s degree. You should also discuss the motivational factors which led you to a career in medicine including any disadvantages or obstacles which might put your accomplishments into context."
UC San Diego,2,"(OPTIONAL) Please describe how educational disparity, health disparity and/or marginalization has impacted you and your community? (4800 characters)"
UC San Diego,3,"On your AMCAS Application, you were asked to identify your three “most meaningful” experiences. These activities have been auto-filled in your secondary application. In addition to the information you provided on the AMCAS application, we would like to know if there are any additional activities you would consider among your most meaningful. This may include activities that you’ve already completed but couldn’t include as you were limited to three selections on the AMCAS application, or it may include a new activity that began after your initial AMCAS application was submitted. Use the “Add” button below to enter a new activity. We would also like to know if a letter of recommendation has been submitted on your behalf by somebody you worked with through this experience. If you do not have a letter from this experience, simply type N/A. This information allows Admissions Committee members reviewing your application to more readily match your letters to your experiences and thus facilitates the review of your application. DO NOT LIST ANY ACTIVITY MORE THAN ONCE. (100 character description for each activity you add)"
UC San Diego,4,"Some medical school applicants are already focused on pursuing a particular career pathway in medicine. While many students will change from this pathway during medical school, knowing of your potential interests does help us to assign interviewers. Your choice below does not influence how the Admissions Committee selects students to interview. Please select from one of career pathways listed below. In addition to this selection, please provide a brief description of your future career goals: (400 characters)"
UC San Diego,1,"The goals of PRIME - HEq are: To increase the number of clinicians, research scientists, and advocates addressing minority health and health disparities; to create a diverse community of scholars that develop, transmit, and apply new knowledge in minority health and health disparities; and to promote a multidisciplinary community/university partnership to eliminate health disparities. The program utilizes existing opportunities to allow enrollees to obtain a master's degree emphasizing minority health and health disparities, tailored to student's interest (MPH, MBA, MAS, MS) Applicants indicating an interest in PRIME are required to write an additional essay detailing their qualifications and reasons for interest in the program. Please describe your interest in the PRIME-HEq program. Topics to include are longitudinal experiences that you’ve had with underserved communities, including the type of community that you’ve worked with and your level of involvement. Additionally, you should discuss the length of time that you’ve spent working in these communities. (4800 characters)"
UC San Diego,2,"Applicants to the UCSD School of Medicine may apply for admission to the GHAC. This track is available to five medical students per class per year, and will provide mentored research and clinical experiences in Global Health. The GHAC has four goals: 1) to prepare young physicians to engage with the global community to address health disparities; 2) to provide experiences and training in academic Global Health research; 3) to provide field experiences in Global Health delivery; and 4) to facilitate education about structural and social factors that create and propagate health disparities. Students in this concentration will undertake an additional curriculum that exposes them to Global Health topics throughout all four years of medical school. This track is appropriate for applicants hoping to pursue an academic medical career in Global Health. Students accepted into the GHAC will be provided with financial support for two international rotations (up to $5000 for both). Applicants interested in applying for the GHAC are required to write an additional essay detailing their qualifications and reasons for interest in this program. Please describe your interest in Global Health. The term Global Health can have many meanings; for our purposes, we find the definition provided by Koplan et. al. in their 2009 Lancet publication useful: “the area of study, research and practice that places a priority on improving health and achieving equity in health for all people worldwide”. In your essay, be sure to describe any personal or professional experiences that have shaped your interests, and how Global Health issues have influenced your decision to pursue a career in medicine. (4800 characters)"
UC San Diego,3,"Applicants to the UCSD School of Medicine may apply for admission to the Program in Medicine - Transforming Indigenous Doctor Education (PRIME-TIDE), which is available to six medical students per class per year. The educational objectives of the PRIME-TIDE are to: 1) teach medical students the appropriate management and treatment of diseases common in AI/AN communities with a focus on culturally sensitive care via a mentored clinical experience in local, regional or national tribally-operated Indian Health Service (IHS) ambulatory clinics; 2) understand the opportunities for community-based research with AI/AN communities through the California Native American Research Center for Health (CA-NARCH); 3) engage in preventive medicine and public health in a tribal healthcare setting; and 4) understand the social, environmental, economic and political issues related to providing healthcare to tribal communities, as well as the limitations/adaptations to the delivery of IHS care. These objectives will be met by completing didactic coursework, as well as mentored research and clinical experiences. (4800 characters)"
UC Davis,2023,"2024 UC Davis Secondary Essay Prompts 1. Optional: Discuss any elements of your application that you feel might be concerning to the Admissions Committee (This could include explanation of metric trends, institutional actions, legal violations, etc.) Please enter N/A if no concerns to report.(500 characters)"
UC Davis,2,Optional: Do you have a connection to Northern or Central California? (500 characters)
UC Davis,3,Activities: Please list the activities you would like to be considered in your application to UC Davis. The secondary activities may be used to highlight your experiences specifically relevant for UC Davis. You may use your most meaningful experiences listed in your initial AMCAS application or select/add others that may be relevant to UC Davis.
Tulane,2023,2024 Tulane Secondary Essay Prompts 1. Tulane University School of Medicine’s mission statement states: We improve human health and foster healthy communities through discovery and translation of the best science into clinical practice and education; to deliver the highest quality patient care and prepare the next generation of distinguished clinical and scientific leaders. Briefly describe the reasons for your interest in Tulane University School of Medicine. (150 words) 
Tulane,2,What disparities in health do you believe are pertinent to the New Orleans patient population? How would you attempt to address them as a medical student at Tulane? You may support your answer by using past involvement working in a similar patient population to compare and/or describe your interest in any student activities offered at Tulane or in New Orleans. (150 words)
Tulane,3,Who knows you best and how would they describe you? (150 words)
Tulane,4,"Please list any leadership positions (clubs, organizations, paid work) you may have held. (100 words)"
Tulane,5,Please list your hobbies and major non-academic interests. (150 words)
Tulane,6,"Tulane University School of Medicine values the diversity of its patients, faculty, staff, and students. Do you identify with a particular group that you believe is underrepresented among medical professionals? These include groups oriented around, but not limited to: ethnicity, race, sexuality, religion, disability, and economic background. (60 words)"
Tulane,7,In what ways did the COVID-19 pandemic alter/interrupt your medical school application?
University of Chicago (Pritzker),2023,"2024 University of Chicago (Pritzker) Secondary Essay Prompts: 1. Students at the Pritzker School of Medicine complete the majority of their clinical training at UChicago Medicine (UCM). UCM is one of the top ten most racially inclusive hospitals in the United States with a primary service area of 12 South Side zip codes where poverty is over double the state level. Additionally, our students lead six free clinics in diverse neighborhoods throughout the city of Chicago."
University of Chicago (Pritzker),2,(MD-Only Applicants)
University of Chicago (Pritzker),3,"Share with us a difficult or challenging situation you have encountered and how you dealt with it. In your response, identify both the coping skills you called upon to resolve the dilemma, and the support person(s) from whom you sought advice. (450 words)"
University of Chicago (Pritzker),4,Optional Additional Information
Yale,2023,"2024 Yale Secondary Prompts If you are not currently in college, what are your plans for this year?"
Colorado,2023,"2024 Colorado Secondary Essay Prompts **Read their instructions in red!** Please do not repeat content from your AMCAS personal statement in these essays. To the extent that there is overlap in the personal statement to what you want to write here, please choose a different approach to discussing the issue(s), such as influence on your values and beliefs, changes you made in your life, reflections that are from a different perspective. The committee utilizes this important information in the selection process."
George Washington,2023,2024 George Washington Secondary Essay Prompts *** GW is adding a second campus location this year (in Baltimore). All students will start in Washington DC for pre-clinical years.***
George Washington,2023,2024 George Washington Secondary Essay Prompts 1. Have you ever registered at an institution under a different name? (Y/N)
George Washington,2023,"2024 George Washington Secondary Essay Prompts If Yes, please enter the name and institution"
George Washington,2,"Select the campus you prefer (main campus preferred, regional medical campus preferred, main campus only, regional medical campus only)"
George Washington,3,"If you selected regional medical campus preferred or regional medical campus only, please explain in detail your interest in regional medical campus and how it will be a good fit for your clinical education? (1750 characters)"
George Washington,4,"Please provide the Admissions Committee with a brief summary of your activities, academics, employment or other occupations to account for full-time activity (approx. 30-40 hours/week) from the point of application through matriculation in 2024. (750 characters)"
George Washington,5,"The MD Program includes substantial content in Clinical Public Health (population health, health systems science, health policy, and community health) to prepare GW graduates for an expanded scope of practice required to be successful 21st century physicians. What are your specific interests and experiences related to that aspect of the MD Program? (350 characters)"
George Washington,6,What makes you a unique individual? What challenges have you faced? What have you learned from your experiences? (750 characters)
George Washington,7,What is your specific interest in the MD Program at GW? What opportunities would you take advantage of as a student here? Why? (1750 characters)
George Washington,8,"Have you previously interacted directly with the MD Admissions Office through events, tours, fairs, webinars, or interviews? (Y/N)"
Virginia,2023,"2024 Virginia Secondary Prompts Please briefly describe how the pandemic impacted your ability to pursue experiences like clinical work, shadowing, research, or community service."
Virginia,2023,2024 Virginia Secondary Prompts Why are you interested in attending the University of Virginia School of Medicine? What factors will be most important to you in choosing a medical school? Please answer the question in 350 words or less.
Virginia,2023,2024 Virginia Secondary Prompts How will you contribute to the diversity of your medical school class and the University of Virginia School of Medicine? Please answer the question in 350 words or less.
Virginia,2023,2024 Virginia Secondary Prompts Tell us about a challenge or obstacle you experienced. How did you manage it? Please answer the question in 350 words or less.
LSU - New Orleans,2023,2024 LSU- New Orleans Secondary Prompts Note: LSU uses forms for most of its secondary as opposed to essays. The following are the 2 optional prompts:
LSU - New Orleans,11,(Optional) Disadvantaged scholarship information letter specifying disadvantage & copy of parent’s federal income tax return)
LSU - New Orleans,12,(Optional) Supplemental essay - 500 to 600 words of your values.
West Virginia,1,"Why do you want to attend WVU SoM? How did you first hear about WVU SoM, and why do you feel you would be a good fit?"
West Virginia,2,Describe a time when you worked closely and successfully with another person who had a background different from your own.
West Virginia,3,How do you see yourself serving the state of West Virgina if accepted?
West Virginia,4,"Which one of the AAMC Interpersonal or Intrapersonal Core Competencies is your strongest, and why? How will this competency enhance your ability to be an outstanding physician?"
West Virginia,5,"What is your life motto, and why?"
Massachusetts,2023,"2024 Massachusetts Secondary Prompts ""MD applicants must answer questions 1, 2, 4 and 6 while MD/PhD applicants must also answer question 7 in addition to 1,2, 4 and 6. Questions 3 and 5 are options but should be answered if you participated in a UMass Chan Medical/Baystate sponsored program and if you are taking/took gap time respectively."""
Massachusetts,2,"#7). Each response should be 150-200 words. Use the text box below for your answer. Separate each of your four responses by writing the competency above/before your response (example: Teamwork - All teams have their struggles, but they can be overcome...)."
Massachusetts,150,"200 words. 1) UMass Chan Medical School strives to be a diverse academic community mindful of the fact that diversity makes our community stronger and benefits the patients we serve. Share your definition of diversity. Describe an example where you contributed to the diversity of a group, team or class. Connect this to how you will contribute to the diversity of the UMass Chan Medical School community. (Diversity)"
Massachusetts,150,200 words. 2) Describe a time when you have made a decision that was not popular and how you handled this. (Leadership competency)
